date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:00:03	74316/74316	---M--	200	added ('OK')	font/woff2	etag:%22621a07228c8ccbfd647918f1021b4868%22	https://soho.shadcnuikit.com/_next/static/media/6d93bde91c0c2823-s.woff2	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/media/6d93bde91c0c2823-s.woff2	(from https://soho.shadcnuikit.com/_next/static/css/7b5a35c1c53c33b6.css)
01:00:04	13179/13179	---MCZ	200	added ('OK')	text/css	etag:W/%22e0321fc8b17a24f9317255b2bc0a7850%22	https://soho.shadcnuikit.com/_next/static/css/d9380a14484539f6.css	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/css/d9380a14484539f6.css	(from https://soho.shadcnuikit.com/status)
01:00:04	103863/103863	---MCZ	200	added ('OK')	application/javascript	etag:W/%221bbb8f7cda6c20ba3b00ca86066ea6f7%22	https://soho.shadcnuikit.com/_next/static/chunks/560-be6f55fe6361baf7.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/560-be6f55fe6361baf7.js	(from https://soho.shadcnuikit.com/status)
01:00:05	12609/12609	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e99ccb343b10c928a641847e730809dd%22	https://soho.shadcnuikit.com/_next/static/chunks/app/(auth)/status/page-1947777db850e76e.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/app/(auth)/status/page-1947777db850e76e.js	(from https://soho.shadcnuikit.com/status)
01:00:05	8585/8585	---MCZ	200	added ('OK')	application/javascript	etag:W/%222c5d658132d6685ad67fdc0069c786b1%22	https://soho.shadcnuikit.com/_next/static/chunks/709-bff8fe3ea3e2a799.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/709-bff8fe3ea3e2a799.js	(from https://soho.shadcnuikit.com/contacts)
01:00:06	6641/6641	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cc7ab219dd966fc928445b0749031bcc%22	https://soho.shadcnuikit.com/_next/static/chunks/app/(auth)/contacts/page-0355f4aae819f026.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/app/(auth)/contacts/page-0355f4aae819f026.js	(from https://soho.shadcnuikit.com/contacts)
01:00:06	267/267	---M--	200	added ('OK')	application/javascript	etag:%2214e9f3038d57d69394450f141e5c0f41%22	https://soho.shadcnuikit.com/_next/static/chunks/app/(auth)/archive/page-2d9917e967242c3d.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/app/(auth)/archive/page-2d9917e967242c3d.js	(from https://soho.shadcnuikit.com/archive)
01:00:07	1764/1764	---MCZ	200	added ('OK')	application/javascript	etag:W/%22afe1f34cbb3d53d069fe1507a3be2cf9%22	https://soho.shadcnuikit.com/_next/static/chunks/app/(guest)/login/page-6f297b4a6d4eac08.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/app/(guest)/login/page-6f297b4a6d4eac08.js	(from https://soho.shadcnuikit.com/login)
01:00:08	11748/11748	---MCZ	200	added ('OK')	text/html	etag:W/%22f5d61c63140432b840787e19e408dc60%22	https://soho.shadcnuikit.com/forgot-password	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/forgot-password.html	(from https://soho.shadcnuikit.com/login)
01:00:08	17549/17549	---MCZ	200	added ('OK')	text/html	etag:W/%220c3310d2d74aa1ffde52819f253da14f%22	https://soho.shadcnuikit.com/register	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/register.html	(from https://soho.shadcnuikit.com/login)
01:00:09	3596/3596	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2002%20Jul%202025%2019:30:10%20GMT	https://soho.shadcnuikit.com/_next/image?url=%2Flogin-cover.jpg&w=3840&q=75	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/image.2b12cb.delayed	(from https://soho.shadcnuikit.com/login)
01:00:10	1714/1714	---MCZ	200	added ('OK')	application/javascript	etag:W/%228a2f727fdae505d97123d4d9d9a4e2a2%22	https://soho.shadcnuikit.com/_next/static/chunks/app/(guest)/forgot-password/page-a2b3d5c049d5662a.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/app/(guest)/forgot-password/page-a2b3d5c049d5662a.js	(from https://soho.shadcnuikit.com/forgot-password)
01:00:10	11500/11500	---MCZ	200	added ('OK')	application/javascript	etag:W/%227c528a750afac4a19e1859595266ddc5%22	https://soho.shadcnuikit.com/_next/static/chunks/app/(guest)/register/page-75b50033edfbe034.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/app/(guest)/register/page-75b50033edfbe034.js	(from https://soho.shadcnuikit.com/register)
